# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
flw 	协	c=3 d=1 t=10992
fm 	南	c=1 d=1 t=11154
fmdf 	堓	c=2 d=1.00635 t=11151
fmk 	击	c=2 d=1.956 t=7474
fmu 	南	c=3 d=1.99036 t=9877
fmwk 	埛	c=1 d=1 t=8261
fn 	志	c=2 d=1.27804 t=11596
fnrt 	场	c=15 d=1.33209 t=17782
fnu 	志	c=2 d=1 t=16964
fnw 	块	c=5 d=1 t=13244
fny 	专	c=6 d=1 t=13184
fo 	赤	c=1 d=1 t=15061
fp 	过	c=37 d=1.00001 t=17737
fpx 	索	c=3 d=1.81058 t=17528
fq 	无	c=17 d=1 t=17667
fqb 	元	c=2 d=1.81873 t=17475
fqp 	远	c=14 d=1.31229 t=17085
fqu 	均	c=1 d=1 t=17456
frt 	埤	c=1 d=1 t=17429
ft 	才	c=7 d=1 t=12447
ftb 	孝	c=7 d=3.82415 t=8240
ftbj 	才阳	c=2 d=1 t=12086
ftbt 	教	c=44 d=3.49754 t=17738
ftg 	考	c=6 d=1.97045 t=14080
ftj 	者	c=11 d=1.81545 t=17220
ftjb 	都	c=31 d=1.23254 t=17524
ftx 	老	c=11 d=1.78168 t=16388
fu 	增	c=13 d=2.88387 t=17457
fue 	丧	c=1 d=1 t=15838
fug 	垃	c=1 d=1 t=16509
fuj 	境	c=7 d=1 t=11077
fujq 	境	c=21 d=1 t=16985
fwf 	替	c=3 d=1 t=17784
fwm 	规	c=34 d=1 t=17415
fwyg 	堆	c=1 d=1 t=15894
fyi 	圡	c=1 d=1 t=10649
fym 	坑	c=1 d=1 t=8618
g 	一	c=127 d=1.10877 t=17645
ga 	开	c=53 d=1.08803 t=17744
gae 	形	c=1 d=1 t=17253
gah 	武	c=2 d=1 t=13159
gajf 	型	c=43 d=7.02478 t=15380
gc 	到	c=26 d=1.55988 t=17789
gcf 	至	c=4 d=1.06688 t=17562
gcft 	致	c=2 d=1 t=16512
gcg 	玛	c=2 d=1.90937 t=9333
gd 	天	c=14 d=2.57979 t=17729
ge 	表	c=48 d=2.5777 t=15713
geq 	静	c=4 d=1.9632 t=11991
gf 	于	c=44 d=2.92243 t=17646
gfi 	球	c=1 d=1 t=12956
gfq 	玩	c=2 d=1.91393 t=17155
gg 	五	c=20 d=1.02045 t=17800
ggg 	王	c=11 d=1.42656 t=13952
ggi 	环	c=29 d=1.00233 t=16984
gh 	下	c=51 d=1.04983 t=17769
ghd 	正	c=15 d=1.85664 t=16694
ght 	政	c=1 d=1 t=16462
gi 	不	c=3 d=1 t=12229
gihq 	覔	c=1 d=1 t=11359
gik 	否	c=3 d=1 t=17068
gip 	还	c=21 d=1.70233 t=16456
gj 	理	c=173 d=3.10711 t=17661
gjh 	惠	c=1 d=1 t=12855
gjk 	丌	c=1 d=1 t=4954
gjkm 	理员	c=1 d=0.101388 t=6120
gjq 	更	c=76 d=1.03889 t=16843
gk 	事	c=21 d=2.70251 t=16668
gkgj 	整理	c=1 d=0.100003 t=3522
gkh 	囊	c=1 d=1 t=531
gki 	束	c=9 d=2.00439 t=6195
gkih 	整	c=28 d=1.77517 t=17004
gkii 	束	c=1 d=1 t=17061
gkij 	剌	c=1 d=1 t=16411
gkim 	赖	c=1 d=1 t=17066
gkip 	速	c=1 d=1 t=10719
gkl 	副	c=1 d=1 t=8454
gklp 	逼	c=2 d=1.00015 t=12638
gkm 	融	c=2 d=1 t=10373
gkp 	带	c=4 d=2.06774 t=17144
gl 	画	c=2 d=1.00001 t=17301
gm 	现	c=34 d=1.88971 t=16761
gmf 	再	c=5 d=1 t=16592
gmu 	责	c=1 d=1 t=401
gmww 	两	c=7 d=1 t=16941
gn 	与	c=13 d=1.06728 t=17174
go 	来	c=36 d=1.05346 t=17728
gogn 	恶	c=1 d=1 t=8588
gq 	列	c=7 d=1 t=17296
gqje 	裂	c=1 d=1 t=14833
gqx 	死	c=1 d=1 t=14337
gr 	珠	c=3 d=1 t=16854
gu 	平	c=94 d=1.00071 t=16855
guck 	平台	c=2 d=0.10001 t=16856
guqy 	珓	c=1 d=1 t=13812
guw 	夹	c=1 d=1 t=429
gxi 	素	c=2 d=1.96561 t=10598
gyc 	琉	c=1 d=1 t=754
gyt 	班	c=9 d=1.90486 t=11608
h 	上	c=38 d=2.05867 t=17711
han 	虑	c=4 d=1 t=14081
hao 	虚	c=4 d=1 t=14075
hc 	皮	c=2 d=1 t=8984
hh 	止	c=1 d=1 t=5085
